Autore,Titolo,Editore,Genere,Scaffale,ISBN,Copertina,Note
Jared Diamond; James Robinson,Esperimenti naturali di storia,Codice,"Viaggi, montagna ed esplorazioni",22,,,
John Berger; Jean Mohr,Il settimo uomo,Contrasto,Saggistica varia,22,,,
Robert Dompnier,Bhoutan. Royaume hors du temps,Olizane,"Viaggi, montagna ed esplorazioni",22,,,
Colin Thubron,L'ombre de la route de la Soie,Gallimard,"Viaggi, montagna ed esplorazioni",22,,,
Alexandra David-Néel,Voyages et aventures de l'esprit,Albin Michel,"Viaggi, montagna ed esplorazioni",22,,,
Rudi Mathematici,Storie che contano,,Saggistica varia,22,,,editore da verificare
Maia-Mari Sutnik,Memory Unearthed,Yale University Press,Saggistica varia,22,,,da verificare
Lisa Segrave,L'orologiaio miope,Adelphi,Saggistica varia,22,,,da verificare
Romano Prodi,Il piano inclinato,Il Mulino,Saggistica varia,22,,,da verificare
Giana M. Petronio Andreatta,È stata tutta luce,,Saggistica varia,22,,,editore da verificare
,Oriana (biografia - da verificare),,"Biografie, diari e memorie",22,,,da verificare
Michela Pereira,Ildegarda di Bingen,,Religione e spiritualità,22,,,editore da verificare
,La fine del sesso,,Saggistica varia,22,,,autore da verificare
Dava Sobel,Le stelle dimenticate,Rizzoli,"Arte, musica e fotografia",22,,,
Randolf Menzel; Matthias Eckoldt,L'intelligenza delle api,Raffaello Cortina,Scienza e matematica,22,,,
James Owen Weatherall,La fisica del nulla,,Scienza e matematica,23,,,editore da verificare
Piergiorgio Odifreddi,Il Vangelo secondo la Scienza,Einaudi,Scienza e matematica,23,,,
Piergiorgio Odifreddi,Dalla Terra alle Lune,,Scienza e matematica,23,,,da verificare
Francesca Melandri,Sangue giusto,Rizzoli,Saggistica varia,23,,,
José Saramago,Le intermittenze della morte,Feltrinelli,Letteratura straniera,23,,,
Federico Rampini,Le linee rosse,Mondadori,Storia e politica,23,,,
Sergio Romano,(titolo da verificare),,Storia e politica,23,,,dorso poco leggibile
Gennaro Sangiuliano,Putin,Mondadori,Storia e politica,23,,,da verificare
Papa Francesco,Padre nostro,Rizzoli,Religione e spiritualità,23,,,
Luigi Pirandello,Novelle per un anno,,Letteratura italiana,23,,,editore da verificare
Corrado Augias,Questa nostra Italia,Mondadori,Storia e politica,23,,,
Mariapia Veladiano,Lei,Guanda,Letteratura italiana,23,,,
James Hilton,Orizzonte perduto,,Saggistica varia,23,,,editore da verificare
Roberto Deidier,Scoperta,,Saggistica varia,23,,,da verificare
Vito Mancuso,Il bisogno di pensare,Garzanti,Religione e spiritualità,23,,,
James Gleick,Viaggi nel tempo,Codice,Saggistica varia,23,,,da verificare
,Le vie della civiltà,,Saggistica varia,23,,,autore da verificare
Massimo Recalcati,Contro il sacrificio,,Saggistica varia,23,,,editore da verificare
Ilvo Diamanti; Marc Lazar,Popolocrazia,Laterza,Storia e politica,23,,,
Gian Agazzi,Dalla lettera a Teofilo,,Religione e spiritualità,23,,,da verificare
Gian Agazzi,Quando avevamo cent'anni di meno,,Saggistica varia,23,,,da verificare
,Dal molinello alla Merica,,Saggistica varia,23,,,autore da verificare
Antonietta Potente,Come il pesce che sta nel mare,,Saggistica varia,23,,,editore da verificare
John Derbyshire,L'ossessione dei numeri primi,Bollati Boringhieri,Scienza e matematica,23,,,
Carlo Maria Martini; Umberto Eco,In cosa crede chi non crede?,,Letteratura italiana,23,,,editore da verificare
Vasilij Grossman,Vita e destino,Adelphi,Saggistica varia,23,,,
John Shelby Spong,Vita eterna: una nuova visione,,Religione e spiritualità,23,,,editore da verificare
Sergio Romano,Putin,Longanesi,Storia e politica,23,,,da verificare
Sergio Romano,Atlante delle crisi mondiali,Rizzoli,Storia e politica,23,,,
,Onde nello spaziotempo,,Saggistica varia,23,,,autore da verificare
Maja Lunde,La storia dell'acqua,Marsilio,Storia e politica,23,,,da verificare
Josep Rius-Camps,Diario di Teofilo,,Religione e spiritualità,23,,,editore da verificare
J.R. McNeill; Peter Engelke,La grande accelerazione,Einaudi,Saggistica varia,24,,,
Stephen Jay Gould,L'equilibrio punteggiato,Il Saggiatore,Scienza e matematica,24,,,da verificare
Steven S. Gubser; Frans Pretorius,I buchi neri,Raffaello Cortina,Scienza e matematica,24,,,da verificare
Massimo Franco,C'era una volta Andreotti,Mondadori,Saggistica varia,24,,,da verificare
Paul Halpern,Il labirinto dei quanti,,Scienza e matematica,24,,,editore da verificare
Alex Zanotelli,Prima che gridino le pietre,,Religione e spiritualità,24,,,editore da verificare
Carlo Rovelli,Ci sono luoghi al mondo dove più che le regole è importante la gentilezza,Corriere della Sera,Scienza e matematica,24,,,da verificare
David N. Schwartz,Enrico Fermi. L'ultimo uomo che sapeva tutto,Il Saggiatore,Saggistica varia,24,,,
Ian Stewart,Le 17 equazioni che hanno cambiato il mondo,Einaudi,Scienza e matematica,24,,,
Ezio Mauro,L'uomo bianco,Feltrinelli,Saggistica varia,24,,,
Silvana Condemi; François Savatier,Mio caro Neandertal,Bollati Boringhieri,Scienza e matematica,24,,,
Marco Guzzi,(titolo da verificare),,Saggistica varia,24,,,dorso poco leggibile
Elisabetta Rasy,Le disobbedienti,Mondadori,Saggistica varia,24,,,da verificare
Vito Mancuso,La via della bellezza,Garzanti,Religione e spiritualità,24,,,
Massimo Ammaniti,Adolescenti senza tempo,Raffaello Cortina,Letteratura italiana,24,,,
John Leland,Scegliere di essere felici,Il Saggiatore,Saggistica varia,24,,,da verificare
Michela Murgia,Noi siamo tempesta,Salani,Letteratura italiana,24,,,
Amin Maalouf,Il naufragio delle civiltà,La nave di Teseo,Letteratura straniera,24,,,da verificare
Paolo Rumiz,Il filo infinito,Feltrinelli,"Viaggi, montagna ed esplorazioni",24,,,
Silvia Ronchey,Lo Stato bizantino,Einaudi,Storia e politica,24,,,
Massimo Recalcati,La notte del Getsemani,Einaudi,Religione e spiritualità,24,,,
Sergio Devecchi,Infanzia rubata,,Saggistica varia,24,,,editore da verificare
Lee Smolin,La rinascita del tempo,Einaudi,Scienza e matematica,24,,,da verificare
,Ciao Italia! Un siècle d'immigration et de culture italiennes en France,,Storia e politica,24,,,catalogo - editore da verificare
Raniero La Valle,Lettere in bottiglia,,Religione e spiritualità,24,,,da verificare
Stefano Mancuso,La nazione delle piante,Laterza,Storia e politica,24,,,
Maria Bellonci,Rinascimento privato,Mondadori,Storia e politica,24,,,
Silvia Meroi; Paolo Rastelli,L'Europa in fiamme,,Saggistica varia,24,,,editore da verificare
Dietrich Bonhoeffer,Resistenza e resa,Queriniana,Religione e spiritualità,24,,,da verificare
Gilles Kepel,Uscire dal caos,Raffaello Cortina,Storia e politica,24,,,
,Aspetti di Israele,,Ebraismo e Israele,25,,,autore da verificare
Elena Loewenthal,Lettera agli amici non ebrei,Bompiani,Ebraismo e Israele,25,,,
Andreas Feininger,Il libro della fotografia,Garzanti,"Arte, musica e fotografia",25,,,
Juan González Núñez,(titolo da verificare),,Saggistica varia,25,,,dorso poco leggibile
Luigi Lorenzetti,Etica teologica,EDB,Religione e spiritualità,25,,,da verificare
Osvaldo Raineri,La spiritualità etiopica,Edizioni Studium,Religione e spiritualità,25,,,
Tullo Goffi,Dare un'anima alla morale,,Religione e spiritualità,25,,,editore da verificare
Manuel Scorza,Rulli di tamburo per Rancas,Feltrinelli,Letteratura italiana,25,,,
Doris Lessing,Il diario di Jane Somers,Feltrinelli,Letteratura straniera,25,,,
A. Contessa; R. Fontana,(titolo da verificare),Sellerio,Saggistica varia,25,,,da verificare
Asimov; Bradbury; Hoch; Queen; Wharton,La notte di Halloween,Editori Riuniti,Scienza e matematica,25,,,
AA.VV.,Centoautori 1999,,Saggistica varia,25,,,antologia - editore da verificare
Leo Buscaglia,"Vivere, amare, capirsi",Mondadori,Saggistica varia,25,,,da verificare
Margarete Buber-Neumann,Milena,Seuil,Saggistica varia,25,,,
Sergio Steffenoni,Un sogno etrusco,Il Saggiatore,Saggistica varia,25,,,possibile doppione (scaffale 8)
,Piccolo poema egizio,,Storia e politica,25,,,autore da verificare
G. Cracco,Terzo mondo e affarismo,,Saggistica varia,25,,,editore da verificare
Pierino Maestri,Fra l'incudine e il martello,,Saggistica varia,25,,,editore da verificare
AA.VV.,Festivaletteratura / CentoAutori (opuscoli del festival di Mantova),,Saggistica varia,25,,,pila di opuscoli - da catalogare
G. Orlani; E. Faglia,I supporti ventilatori,,Saggistica varia,26,,,da verificare
Giorgio Torri,Il moderno apparecchio di anestesia (vol. I),,Scienza e matematica,26,,,da verificare
Giorgio Torri,Il moderno apparecchio di anestesia (vol. II),,Scienza e matematica,26,,,da verificare
,Ossigenoterapia iperbarica. Applicazioni cliniche,,Saggistica varia,26,,,autore da verificare
,Kosovo. L'Italia in guerra,,Storia e politica,26,,,autore da verificare
,Mantova. Il Museo della Città,,"Arte, musica e fotografia",26,,,autore da verificare
,Amicizia e amore,,Saggistica varia,26,,,autore da verificare
Alberto Cavallini,Veneto. Itinerari ebraici,,Ebraismo e Israele,26,,,da verificare
,Israele,,Ebraismo e Israele,26,,,catalogo - da verificare
,Scrolls from the Dead Sea,,Saggistica varia,26,,,catalogo - da verificare
,Il ghetto di Venezia,,Saggistica varia,26,,,autore da verificare
,Civiltà del passato,,Saggistica varia,26,,,catalogo - da verificare
,Strasbourg (foto di Zvardon),,Saggistica varia,26,,,da verificare
,Fotografia digitale reflex,,"Arte, musica e fotografia",26,,,autore da verificare
Armando Roti,Vermeer,,"Arte, musica e fotografia",26,,,editore da verificare
AA.VV.,Vari cataloghi d'arte e opuscoli di grande formato,,Saggistica varia,26,,,scaffale con molti cataloghi/riviste - da catalogare
,Atlante turistico d'Europa,,"Viaggi, montagna ed esplorazioni",27,,,autore da verificare
,Palestinologia (fascicoli),,Saggistica varia,27,,,serie - da verificare
,Cento anni dal Corriere della Sera,,Saggistica varia,27,,,da verificare
,I tesori delle Venezie,,Saggistica varia,27,,,da verificare
,Oltre l'antico Egitto,,Storia e politica,27,,,autore da verificare
,La bellezza femminile nell'antichità,,Saggistica varia,27,,,autore da verificare
AA.VV.,"Enciclopedia Biografica Universale (vol. 1, A-Arion)",Treccani,Saggistica varia,27,,,
,"Israele/Palestina, la terra stretta",,Ebraismo e Israele,27,,,autore da verificare
Raffaele Vecchio,Parlà-m lu ndialé-tti. Parliamo in dialetto,,Saggistica varia,27,,,da verificare
Alfredo Cattabiani,Calendario,Mondadori,Saggistica varia,27,,,
Emmanuel Anati,Har Karkom 1999. Una documentazione,Jaca Book,Ebraismo e Israele,27,,,
Clarissa Pinkola Estés,Donne che corrono coi lupi,Frassinelli,Saggistica varia,27,,,
Giordana Charuty,Jerusalem Through My Father's Eyes,,Ebraismo e Israele,27,,,da verificare
F. Bortone S.I.,Padre Matteo Ricci S.I.,,Religione e spiritualità,27,,,editore da verificare
,Topografia del terrore,,Storia e politica,27,,,catalogo - da verificare
Marzotto Caotorta,Profumi ritrovati,,Saggistica varia,27,,,da verificare
Anna Tedesco,La me gente,,Saggistica varia,27,,,da verificare
,Don Mazzolari tra testimonianza e storia,,Religione e spiritualità,27,,,autore da verificare
,Giubileo e potere,,Storia e politica,27,,,autore da verificare
James Graham-Campbell; Dafydd Kidd,1492. An Ongoing Voyage,Library of Congress,"Viaggi, montagna ed esplorazioni",27,,,da verificare
,The Vikings,,Saggistica varia,27,,,catalogo - da verificare
AA.VV.,National Geographic (vari numeri) e altri atlanti/cataloghi,,Scienza e matematica,27,,,riviste e volumi di grande formato - da catalogare
Gabriel García Márquez,Cent'anni di solitudine,Einaudi,Letteratura straniera,28,,,
Italo Calvino,Il barone rampante,Mondadori,Letteratura italiana,28,,,
Luigi Sandri,(titolo da verificare),,Saggistica varia,28,,,dorso poco leggibile
,Il vero Natale,,Saggistica varia,28,,,autore da verificare
,Cronache dal futuro,,Saggistica varia,28,,,autore da verificare
Gina Lagorio,La spiaggia del lupo,,Saggistica varia,28,,,da verificare
Giuseppe Pontiggia,Nati due volte,Mondadori,Letteratura italiana,28,,,
Günter Grass,Il tamburo di latta,Feltrinelli,Letteratura straniera,28,,,
Alex Haley,Radici,,Saggistica varia,28,,,da verificare
Fabio Salviato,Ho sognato una banca,,Saggistica varia,28,,,editore da verificare
Alessandro De Bianchi,"Viaggi in Armenia, Kurdistan e Lazistan",Argo,Saggistica varia,28,,,da verificare
,Poesia curda,BESA,Saggistica varia,28,,,curatore da verificare
Susan Vreeland,La passione di Artemisia,,Letteratura straniera,28,,,editore da verificare
Melita Richter Malabotta,Le guerre cominciano a primavera,,Saggistica varia,28,,,da verificare
Nina Sankovitch,Se per un anno una lettrice,Rubbettino,Saggistica varia,28,,,da verificare
Marcela Serrano,"Antigua, vita mia",Feltrinelli,Letteratura straniera,28,,,
Hughes Portelli,Gramsci e la questione religiosa,,Religione e spiritualità,28,,,editore da verificare
AA.VV.,I Meridiani. Catalogo 1969-2009,Mondadori,Saggistica varia,28,,,
AA.VV.,La Storia. L'età moderna e contemporanea (1. Il Cinquecento),La Biblioteca di Repubblica,Storia e politica,28,,,da verificare
Roberto Vecchioni,Il vizio di scrivere,Einaudi,Letteratura italiana,28,,,da verificare
Massimo Centini,Homo Sapiens,,Saggistica varia,28,,,editore da verificare
,Le vie francigene,,Scienza e matematica,28,,,autore da verificare
,L'invention de l'écriture,,Saggistica varia,28,,,autore da verificare
,La tomba di Kha,Scala,Saggistica varia,28,,,autore da verificare
Alice Sturiale,Il libro di Alice,,Saggistica varia,28,,,editore da verificare
,La Fenice Reconstructed,,Saggistica varia,28,,,catalogo - da verificare
AA.VV.,Road Atlas and Vacation Guide,Rand McNally,Saggistica varia,29,,,da verificare
AA.VV.,National Geographic (vari numeri),National Geographic,Scienza e matematica,29,,,riviste - da catalogare
AA.VV.,Splendori del Monastero delle Vergini,,Religione e spiritualità,29,,,catalogo - da verificare
AA.VV.,L'iconostasi degli zar,,"Arte, musica e fotografia",29,,,catalogo - da verificare
AA.VV.,Il '98 a Milano,,Saggistica varia,29,,,catalogo - da verificare
,Windmühlenbau,Schnelle,Saggistica varia,29,,,da verificare
,Segni e sogni della Terra. Il disegno del mondo dal mito di Atlante alla geografia delle reti,De Agostini,"Viaggi, montagna ed esplorazioni",29,,,da verificare
Bernard Meehan,The Book of Kells,Thames and Hudson,"Arte, musica e fotografia",29,,,
AA.VV.,Al di là della Cortina di ferro,,Saggistica varia,29,,,catalogo - da verificare
Carlo Linati,Milano d'allora,,Saggistica varia,29,,,editore da verificare
,Gerardo dei Tintori,,"Arte, musica e fotografia",29,,,autore da verificare
John Seymour,Il libro della novella italiana / dell'autosufficienza,Mondadori,Storia e politica,29,,,da verificare
,Himalaya,,"Viaggi, montagna ed esplorazioni",29,,,catalogo - da verificare
Roberto Merlo,Verona in volo,,"Viaggi, montagna ed esplorazioni",29,,,editore da verificare
Roberto Merlo,Mantova in volo,,"Viaggi, montagna ed esplorazioni",29,,,editore da verificare
AA.VV.,C.A.I. Verona 1875-1975,CAI,Saggistica varia,29,,,da verificare
,Il Parco Nazionale dello Stelvio,,"Viaggi, montagna ed esplorazioni",29,,,autore da verificare
,Ferrate delle Dolomiti,Zanichelli,"Viaggi, montagna ed esplorazioni",29,,,da verificare
,Parchi e riserve naturali in Italia,,"Viaggi, montagna ed esplorazioni",29,,,autore da verificare
F. Bernasconi,Guida alle civiltà megalitiche,,"Viaggi, montagna ed esplorazioni",29,,,da verificare
AA.VV.,"Vari opuscoli, notiziari e guide di montagna/arte",,"Viaggi, montagna ed esplorazioni",29,,,materiale minore - da catalogare
AA.VV.,Il volto di Cristo nell'arte,,Religione e spiritualità,30,,,catalogo - da verificare
,Der grosse Silvy 73/74,,Saggistica varia,30,,,da verificare
,Guida di Santa Caterina,,"Viaggi, montagna ed esplorazioni",30,,,autore da verificare
AA.VV.,La Galleria delle Carte geografiche in Vaticano / The Gallery of Maps in the Vatican,,"Arte, musica e fotografia",30,,,da verificare
AA.VV.,La Cappella Sistina,,"Arte, musica e fotografia",30,,,catalogo - da verificare
AA.VV.,L'arte nel Medioevo (vol. I),Touring Club Italiano,"Arte, musica e fotografia",30,,,da verificare
AA.VV.,L'arte nel Medioevo (vol. II),Touring Club Italiano,"Arte, musica e fotografia",30,,,da verificare
AA.VV.,L'arte nel Rinascimento,Touring Club Italiano,"Arte, musica e fotografia",30,,,da verificare
Giuseppe Rama,Il pavimento del Duomo di Siena,,"Arte, musica e fotografia",30,,,da verificare
Salvatore Ciurca,Gh'era 'na 'olta Verona,,Saggistica varia,30,,,da verificare
,I mosaici della villa 'Ercula' di Piazza Armerina - Morgantina,,"Arte, musica e fotografia",30,,,catalogo - da verificare
,La rivista del Banco Popolare,,Saggistica varia,30,,,rivista - da catalogare
,Ischia. L'isola delle terme,,Saggistica varia,30,,,autore da verificare
,Cordova da vicino,,Saggistica varia,30,,,autore da verificare
AA.VV.,I Luoghi d'arte della Stagione (Provincia di Verona),Provincia di Verona,Saggistica varia,30,,,da verificare
Antonio Machado,26 poesie,Galland,Saggistica varia,30,,,da verificare
Indro Montanelli,Storia dei Greci,Rizzoli,Storia e politica,30,,,
,Die Kunst sich Gerund zu erhalten,,Saggistica varia,30,,,da verificare
,The School of Salernum,,Saggistica varia,30,,,da verificare
AA.VV.,L'avventura coloniale italiana,,Storia e politica,30,,,da verificare
AA.VV.,Museo Nazionale Archeologico di Egnazia,,"Arte, musica e fotografia",30,,,catalogo - da verificare
Gianni Oliva,La grande guerra nel comune di Vasto,,Storia e politica,30,,,da verificare
AA.VV.,Religions of the World,,Religione e spiritualità,30,,,da verificare
Giulio Busi,Mantova e la qabbalah / Mantua and the Kabbalah,,Ebraismo e Israele,30,,,da verificare
,Berlino (Gemäldegalerie),,"Arte, musica e fotografia",30,,,catalogo - da verificare
Bernard Schneider,Byzantine Art,,"Arte, musica e fotografia",30,,,da verificare
AA.VV.,le Scienze (vari numeri),le Scienze,Scienza e matematica,30,,,riviste - da catalogare
AA.VV.,SCALA / Byzantine Art e altri cataloghi d'arte,,"Arte, musica e fotografia",30,,,materiale d'arte - da catalogare
,La mente umana,,Saggistica varia,31,,,autore da verificare
,Ultime lettere da Stalingrado,Zanichelli,Storia e politica,31,,,da verificare
Robert M. Goldenson,Dialoghi sulla mente,,Saggistica varia,31,,,da verificare
Georges Bernanos,(titolo da verificare),,Saggistica varia,31,,,dorso poco leggibile
George Orwell,La fattoria degli animali,Mondadori,Religione e spiritualità,31,,,da verificare
Alessandro Spinola,Miscellanea,,Saggistica varia,31,,,editore da verificare
,Perlen aus der deutschen Literatur,,Saggistica varia,31,,,autore da verificare
Louis Evely,Padre nostro,,Religione e spiritualità,31,,,editore da verificare
Fruttero & Lucentini,L'amante senza fissa dimora,Mondadori,Saggistica varia,31,,,da verificare
Karl Marx,La medicina del capitale,Feltrinelli,Scienza e matematica,31,,,da verificare
,Se Cristo bussasse alle porte,,Religione e spiritualità,31,,,autore da verificare
Antonio Gramsci,Gramsci in carcere e il partito,l'Unità,Storia e politica,31,,,da verificare
,Gramsci,l'Unità,Storia e politica,31,,,fascicoli - da verificare
Max Delespesse,La terza Chiesa alle porte,,Religione e spiritualità,31,,,da verificare
Walbert Bühlmann,La terza Chiesa alle porte,EDB,Religione e spiritualità,31,,,da verificare
,Il Vangelo della gioia,Jaca Book,Religione e spiritualità,31,,,autore da verificare
Lorenzo Dani,Istituzione e identità religiosa,,Religione e spiritualità,31,,,da verificare
,Werther (Kerner Werke),,Saggistica varia,31,,,edizione tedesca - da verificare
Carlo Maria Martini; Georg Sporschill,Saper leggere la Bibbia,,Religione e spiritualità,31,,,da verificare
Oriana Fallaci,(titolo da verificare),,Saggistica varia,31,,,dorso poco leggibile
,Fioretti di San Francesco,,Religione e spiritualità,31,,,edizione - da verificare
AA.VV.,Volumi vari rilegati (dorsi rovinati),,Saggistica varia,31,,,da catalogare
AA.VV.,"Atti della conferenza nazionale sulle colonie portoghesi (Reggio Emilia, 24-25 marzo 1973)",,Saggistica varia,32,,,da verificare
Antonio Fogazzaro,Daniele Cortis,,Letteratura italiana,32,,,edizione - da verificare
,I prigionieri di Saigon: le prove,,Saggistica varia,32,,,autore da verificare
Rosetta Loy,Le strade di ieri (Domenica e altre cose),,Letteratura italiana,32,,,da verificare
Marcello Venturi,Vacanze d'inverno? (Bandiera bianca a Cefalonia),Vallecchi,Saggistica varia,32,,,da verificare
Richard Bach,Il gabbiano (Vacanze etc. / dei Gabbiani),Vallecchi,Saggistica varia,32,,,dorso poco leggibile
Giovanni Verga,(volume - da verificare),,Letteratura italiana,32,,,dorso poco leggibile
,Domenica e altre cose di ieri,,Saggistica varia,32,,,autore da verificare
Luigi Pirandello,(novelle - da verificare),,Letteratura italiana,32,,,dorso poco leggibile
,Il regalo della fata,,Saggistica varia,32,,,autore da verificare
Amedeo Maiuri,Breviario di Capri,,Saggistica varia,32,,,editore da verificare
Augusto Monti,Le storie di papà,,Saggistica varia,32,,,editore da verificare
Jules Verne,Ventimila leghe sotto i mari,Einaudi,Letteratura straniera,32,,,da verificare
Enzo Biagi,Gente che va,Mursia,Storia e politica,32,,,da verificare
Egon Erwin Zechlin,Il libro delle ragazze,Mursia,Saggistica varia,32,,,da verificare
Bertolt Brecht,"Io, Bertolt Brecht",,Saggistica varia,32,,,edizione - da verificare
A. Valsecchi,Con i nostri figli. Perché crescano,,Saggistica varia,32,,,da verificare
AA.VV.,Kontinent 1,Garzanti,Saggistica varia,32,,,da verificare
AA.VV.,Kontinent 2,Garzanti,Saggistica varia,32,,,da verificare
Publio Cornelio Tacito,Nerone (Annali),,Storia e politica,32,,,edizione - da verificare
Virgilio,Bucoliche,,Saggistica varia,32,,,edizione - da verificare
Pedro Tierra,Canti del popolo della notte,,Saggistica varia,32,,,editore da verificare
,I giochi all'aria aperta (Sambati),,Saggistica varia,32,,,da verificare
AA.VV.,Diario 1984-1985,SPI,Saggistica varia,32,,,da verificare
AA.VV.,La Lazzaretta di Verona / Diario 1985,,Saggistica varia,32,,,da verificare
Giovanni Berlinguer; Luca Cacchioli; Ferdinando Terranova,La salute nelle fabbriche,,Saggistica varia,32,,,da verificare
,Gli infortuni sul lavoro dei minori,,Saggistica varia,32,,,autore da verificare
AA.VV.,Il sistema fiscale veneto (secc. XV-XVIII),,Saggistica varia,32,,,da verificare
Gigi Tarticchio,Dove non viene mai sera,,Saggistica varia,32,,,da verificare
,Le verità sui bambini (Monchaux),,Saggistica varia,32,,,da verificare
Leopold Lucas,Valdano (i racconti del guardapanco),,Saggistica varia,32,,,dorso poco leggibile
Maria Gripe,Ugo e Josefin,,Saggistica varia,32,,,possibile doppione (scaffale 33)
Maria Gripe,Ugo e Josefin,,Saggistica varia,33,,,editore da verificare
Erich Kästner,(titolo da verificare),,Saggistica varia,33,,,dorso poco leggibile
Paolo Oriolo,Geometria,Principato,Scienza e matematica,33,,,da verificare
,L'adolescente nella società d'oggi,Morelli Editore,Saggistica varia,33,,,autore da verificare
P. Prosperio,Le legioni di Cesare avanzano,Editrice La Sorgente,Saggistica varia,33,,,da verificare
,Il libro delle pellicce,Mursia,Saggistica varia,33,,,autore da verificare
A. Ferretti,L'isola in mezzo al fiume,,Saggistica varia,33,,,editore da verificare
Mariella Piovanel,Tec-Tec il fanciullo alato,BUR Rizzoli,Saggistica varia,33,,,da verificare
Rudyard Kipling,Capitani coraggiosi,BUR Rizzoli,Letteratura straniera,33,,,
R.L. Stevenson,L'isola del tesoro,Salani,Letteratura straniera,33,,,
G. Aimard,I cacciatori dell'Arkansas,Salani,Saggistica varia,33,,,
Ciro Poggiali,Le amene favole degli dei,,Saggistica varia,33,,,editore da verificare
Renato Caporali; Antonio Lugli,Genghiz Khan,,Saggistica varia,33,,,editore da verificare
Angelo Marchese,Pratiche comunicative,Principato,Saggistica varia,33,,,da verificare
,Storia (volumi III e IV rilegati),,Storia e politica,33,,,autore da verificare
,La Casa a vapore,Mursia,Saggistica varia,33,,,autore da verificare
Paolo Oriolo,Aritmetica,,Scienza e matematica,33,,,editore da verificare
AA.VV.,Verona 1978,,Saggistica varia,33,,,da verificare
F. Hill,Davy Crockett al lavoro,Editori Fratelli Fabbri,Saggistica varia,33,,,da verificare
Jules Verne,Dalla Terra alla Luna,Mursia,Letteratura straniera,33,,,
F. Molnár,I ragazzi della via Pál,,Saggistica varia,33,,,editore da verificare
,Avventure di tre russi e tre inglesi,,Saggistica varia,33,,,autore da verificare
,Una città galleggiante,,Saggistica varia,33,,,autore da verificare
,Quando la Madonna raccontava,,Saggistica varia,33,,,autore da verificare
R. Eraspe,Le avventure del barone di Münchhausen,ERI,Saggistica varia,33,,,da verificare
,Marco Polo,,"Viaggi, montagna ed esplorazioni",33,,,autore/editore da verificare
AA.VV.,Guida alla formazione di una biblioteca,Einaudi,"Viaggi, montagna ed esplorazioni",34,,,da verificare
George Foot Moore,Origini e sviluppo della religione,,Religione e spiritualità,34,,,da verificare
,Sino al limite segreto del mondo,,Saggistica varia,34,,,autore da verificare
Arthur Schopenhauer,(I filosofi - a cura di Martinetti),Garzanti,Filosofia,34,,,da verificare
Benedetto Croce,Materialismo storico ed economia marxistica,Laterza,Saggistica varia,34,,,da verificare
Omero,Odissea,,Saggistica varia,34,,,edizione - da verificare
Ève Curie,La signora Curie,Mondadori,"Biografie, diari e memorie",34,,,da verificare
Paul de Kruif,I cacciatori di microbi,,Scienza e matematica,34,,,da verificare
Ugo Foscolo,Ultime lettere di Jacopo Ortis,,Letteratura italiana,34,,,edizione - da verificare
Miguel de Cervantes,Don Chisciotte della Mancia (vol. I),Mondadori BMM,Letteratura straniera,34,,,
Miguel de Cervantes,Don Chisciotte della Mancia (vol. II),Mondadori BMM,Letteratura straniera,34,,,
Fëdor Dostoevskij,Racconti e romanzi brevi (vol. I),Sansoni,Letteratura straniera,34,,,
Fëdor Dostoevskij,I fratelli Karamazov,,Letteratura straniera,34,,,edizione - da verificare
Giovanni Boccaccio,Decamerone (vol. I),BUR,Letteratura italiana,34,,,
Giovanni Boccaccio,Decamerone (vol. II),BUR,Letteratura italiana,34,,,
,Racconti,Mondadori BMM,Saggistica varia,34,,,autore da verificare
Ernest Hemingway,Per chi suona la campana,Mondadori,Letteratura straniera,34,,,da verificare
,Il castello del cappellaio,,Saggistica varia,34,,,autore da verificare
AA.VV.,Vari classici in edizioni BMM/BUR (dorsi rovinati),,Saggistica varia,34,,,da catalogare
Johann Wolfgang Goethe,Opere (vol. I),Sansoni,Letteratura straniera,35,,,da verificare
Johann Wolfgang Goethe,Opere (vol. II),Sansoni,Letteratura straniera,35,,,da verificare
Johann Wolfgang Goethe,Opere (vol. III),Sansoni,Letteratura straniera,35,,,da verificare
Johann Wolfgang Goethe,Opere (vol. IV),Sansoni,Letteratura straniera,35,,,da verificare
Albert Einstein; Leopold Infeld,(Cultura scientifica - da verificare),,Scienza e matematica,35,,,da verificare
Massimo Mila,Breve storia della musica,Einaudi,"Arte, musica e fotografia",35,,,da verificare
Voltaire,Candide,,Letteratura straniera,35,,,edizione - da verificare
,Le nove sinfonie di Beethoven,,"Arte, musica e fotografia",35,,,autore da verificare
Caldarelli,La via del tabacco,Mondadori BMM,Saggistica varia,35,,,da verificare
Plutarco,Alessandro e Cesare,Mondadori BMM,Saggistica varia,35,,,da verificare
Henry James,L'ereditiera,,Letteratura straniera,35,,,editore da verificare
Charles Baudelaire,Les Fleurs du Mal,Garnier,Letteratura straniera,35,,,da verificare
Bruce Marshall,A ogni uomo un soldo,Martello,"Viaggi, montagna ed esplorazioni",35,,,da verificare
Richard Wright,10 £. L'architettura (vol. I),,Saggistica varia,35,,,dorso poco leggibile
Richard Wright,10 £. L'architettura (vol. II),,Saggistica varia,35,,,dorso poco leggibile
Edgar Snow,Stella rossa sulla Cina,Einaudi,Storia e politica,35,,,
